Latitude;Longitude
51.76385;6.332625
51.75793;6.342077
51.75474;6.377722
51.75572;6.404917
51.75356;6.413342
51.74749;6.421422
51.74155;6.422775
51.71548;6.410447
51.68361;6.47149
51.70061;6.463212
51.69302;6.468657
51.68361;6.471492
51.66806;6.478537
51.66159;6.507544
51.66119;6.531158
51.65811;6.546788
51.65853;6.556742
51.65967;6.566397
51.66022;6.57937
51.65899;6.5886
51.65366;6.599737
51.64784;6.604778
51.64056;6.605718
51.6344;6.599202
51.62874;6.590555
51.62203;6.586118
51.6152;6.589318
51.60779;6.593737
51.60063;6.596788
51.59045;6.598393
51.58392;6.598028
51.57603;6.59783
51.56929;6.603653
51.56637;6.615392
51.56892;6.628777
51.57301;6.638048
51.57686;6.647473
51.57839;6.657078
51.57816;6.667747
51.57576;6.67893
51.56988;6.686316
51.56362;6.687943
51.55806;6.685428
51.55257;6.680977
51.54585;6.676995
51.53856;6.675912
51.53311;6.680151
51.52873;6.68745
51.52594;6.696513
51.52257;6.7072
51.51833;6.71572
51.51291;6.722203
51.5074;6.725057
51.50103;6.723318
51.49623;6.715237
51.49412;6.704433
51.49196;6.694408
51.48825;6.685557
51.48207;6.680295
51.47526;6.683567
51.47211;6.69103
51.47091;6.702193
51.46967;6.712633
51.46572;6.720852
51.45943;6.723688
51.45342;6.721766
51.44793;6.715327
51.44263;6.711337
51.43565;6.712193
51.42979;6.71786
51.42509;6.725992
51.42024;6.733683
51.41583;6.738885
51.41003;6.743752
51.4039;6.745972
51.3946;6.74351
51.38983;6.73921
51.38504;6.733342
51.38052;6.726143
51.37674;6.717975
51.37421;6.709033
51.37304;6.699306
51.3724;6.688438
51.37047;6.67574
51.36752;6.664918
51.36401;6.65751
51.35912;6.653708
51.35264;6.654845
51.34748;6.663438
51.34517;6.673305
51.34327;6.682805
51.34109;6.69313
51.3386;6.702098
51.33496;6.711868
51.33083;6.721014
51.32549;6.729496
51.31972;6.734344
51.31323;6.735414
51.30642;6.733482
51.29939;6.728307
51.29498;6.722836
51.29047;6.717381
51.28455;6.710338
51.27851;6.704218
51.27112;6.701862
51.2649;6.705855
51.26009;6.714165
51.25711;6.723432
51.25517;6.73243
51.2533;6.741635
51.25085;6.751097
51.24645;6.75977
51.24325;6.763542
51.24194;6.766238
51.23907;6.768507
51.23907;6.768517
51.23907;6.768517
51.23906;6.768488
51.23906;6.768495
51.23908;6.768478
51.23906;6.768492
51.23905;6.768502
51.23906;6.768508
51.23907;6.768515
51.23905;6.768517
51.23909;6.768512
51.2391;6.768517
51.2391;6.76852
51.2391;6.7685
51.23908;6.768492
51.23907;6.768497
51.23906;6.768495
51.23908;6.768502
51.23907;6.768498
51.23908;6.768497
51.23905;6.768488
51.23997;6.767722
51.24411;6.76392
51.24783;6.758763
